PNA;MIEJSCOWOå∆;ULICA;NUMERY;GMINA;POWIAT;WOJEW”DZTWO
85-437;Bydgoszcz;Czapla;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-795;Bydgoszcz;CzarliÒskich;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-220;Bydgoszcz;Czarna Droga;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-411;Bydgoszcz;Czarnkowska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-364;Bydgoszcz;Czeremcha;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-362;Bydgoszcz;Czereúniowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-636;Bydgoszcz;Czerkaska;11-27(n), 16-32(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-641;Bydgoszcz;Czerkaska;1-9(n), 2-14(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;Czerwcowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-338;Bydgoszcz;Czerwonego Krzyøa;2-5, 8-56(p), 13-73(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-333;Bydgoszcz;Czerwonego Krzyøa;58-96(p), 75-105(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-167;Bydgoszcz;Czeska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Czes≥awa LewiÒskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-073;Bydgoszcz;Czes≥awa Mi≥osza;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Czes≥awa NieduszyÒskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-853;Bydgoszcz;CzÍstochowska;1;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-854;Bydgoszcz;CzÍstochowska;7-19b(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-808;Bydgoszcz;Cz≥uchowska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-532;Bydgoszcz;Czo≥gistÛw;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-363;Bydgoszcz;CzorsztyÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-444;Bydgoszcz;Czyste Pola;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-446;Bydgoszcz;Czyøykowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-391;Bydgoszcz;Daglezjowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-362;Bydgoszcz;Daktylowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-152;Bydgoszcz;Daleka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-723;Bydgoszcz;Dar≥owska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-147;Bydgoszcz;Dπbrowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-689;Bydgoszcz;Dπbska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-803;Bydgoszcz;Dekarzy;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-435;Bydgoszcz;Delfinowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-467;Bydgoszcz;Deszczowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-379;Bydgoszcz;DÍbliÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-626;Bydgoszcz;DÍbowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-369;Bydgoszcz;Diamentowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-034;Bydgoszcz;D≥uga;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-689;Bydgoszcz;Dobies≥awa Pucha≥y;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-189;Bydgoszcz;DobrzyÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-212;Bydgoszcz;Dolina;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Domas≥awa Chroúlicy;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;Dorodna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-374;Bydgoszcz;Dorpacka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-435;Bydgoszcz;Dorszowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-353;Bydgoszcz;Doøynkowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-089;Bydgoszcz;Dr Antoniego Jurasza;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-054;Bydgoszcz;Dr. Emila WarmiÒskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-472;Bydgoszcz;dr Stanis≥awa Meysnera;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-485;Bydgoszcz;dr W≥adys≥awa Baranowskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-478;Bydgoszcz;dr Zygmunta Kasperowicza;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-701;Bydgoszcz;Drawska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-345;Bydgoszcz;Drobna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-446;Bydgoszcz;DrozdÛw;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-005;Bydgoszcz;Drukarska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-555;Bydgoszcz;Drzycimska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-143;Bydgoszcz;Ducha åwiÍtego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-689;Bydgoszcz;Dukielska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-469;Bydgoszcz;Dusznicka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-010;Bydgoszcz;Dworcowa;2-110(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-009;Bydgoszcz;Dworcowa;3-89(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;Dworzec;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-736;Bydgoszcz;Dzia≥dowska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-440;Bydgoszcz;DziÍcio≥owa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-715;Bydgoszcz;Düwigowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-687;Bydgoszcz;Døokejowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Edmunda Biernackiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-862;Bydgoszcz;Edmunda Matuszewskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-479;Bydgoszcz;Edwarda SoboczyÒskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-420;Bydgoszcz;Edwarda SzmaÒdy;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-791;Bydgoszcz;Edwarda Zurna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-425;Bydgoszcz;Elblπska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-149;Bydgoszcz;Elizy Orzeszkowej;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-862;Bydgoszcz;Emila Gamma;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-141;Bydgoszcz;Emilianowska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-664;Bydgoszcz;Emilii Plater;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-885;Bydgoszcz;Energetyczna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-862;Bydgoszcz;Ernsta Petersona;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-791;Bydgoszcz;Eugeniusza Kwiatkowskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-323;Bydgoszcz;Eugeniusza Po≥tyna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-862;Bydgoszcz;Eugeniusza SmoliÒskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-792;Bydgoszcz;Ewy Szelburg-Zarembiny;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-741;Bydgoszcz;Fabryczna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-814;Bydgoszcz;Falista;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-101;Bydgoszcz;Farna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Felicji Krysiewiczowej;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-869;Bydgoszcz;Feliksa Nowowiejskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Feliksa Stamma;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-776;Bydgoszcz;Feliksa WiÍcka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-485;Bydgoszcz;Figowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-160;Bydgoszcz;Filarecka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-836;Bydgoszcz;Filmowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;FilomatÛw;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-467;Bydgoszcz;Filtrowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-361;Bydgoszcz;Fio≥kowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-425;Bydgoszcz;Flisacka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-815;Bydgoszcz;Floriana Ceynowy;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-752;Bydgoszcz;FordoÒska;126-196b(p), 205-239(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-766;Bydgoszcz;FordoÒska;216-254a(p), 353-355(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-085;Bydgoszcz;FordoÒska;2-30(p), 15-25(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;FordoÒska;256-288(p), 297-343(n), 357-363(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-719;Bydgoszcz;FordoÒska;27-91(n), 32-102(p), 52-77;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;FordoÒska;393-467(n), 400-444c(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-739;Bydgoszcz;FordoÒska;95-201(n), 108-120(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-174;Bydgoszcz;Franciszka Gajewskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-795;Bydgoszcz;Franciszka Kiedrowskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Franciszka Schreibera;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Franciszka Witeckiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-310;Bydgoszcz;Franciszka Øwirki i Stanis≥awa Wigury;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-862;Bydgoszcz;Franza Blumwego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-724;Bydgoszcz;Fromborska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-092;Bydgoszcz;Fryderyka Chopina;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-149;Bydgoszcz;Gabrieli Zapolskiej;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-087;Bydgoszcz;Gajowa;1-83;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-717;Bydgoszcz;Gajowa;85-99(n), 94-102(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;Galla Anonima;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-229;Bydgoszcz;Garbary;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-792;Bydgoszcz;GawÍdy;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-430;Bydgoszcz;Gawronia;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-142;Bydgoszcz;Gπsawska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-674;Bydgoszcz;GdaÒska;142-254(p), 147-181(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-005;Bydgoszcz;GdaÒska;1-83(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-006;Bydgoszcz;GdaÒska;2-50(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-021;Bydgoszcz;GdaÒska;52-140(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-022;Bydgoszcz;GdaÒska;85-145a(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-713;Bydgoszcz;GdyÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-331;Bydgoszcz;Gen. Amilkara KosiÒskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;"gen. Augusta Emila Fieldorfa ""Nila""";;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-791;Bydgoszcz;gen. Franciszka Kleeberga;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-793;Bydgoszcz;gen. JÛzefa Dowbor-Muúnickiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-795;Bydgoszcz;gen. JÛzefa Hallera;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-793;Bydgoszcz;gen. Leopolda Okulickiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-163;Bydgoszcz;gen. Stanis≥awa Grzmota-Skotnickiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-793;Bydgoszcz;gen. Stanis≥awa Taczaka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-793;Bydgoszcz;gen. Stefana Roweckiego-Grota;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-793;Bydgoszcz;gen. Tadeusza Bora-Komorowskiego;1-71(n), 6-24(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-787;Bydgoszcz;gen. Tadeusza Bora-Komorowskiego;32-66(p), 72-74, 77-129(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-791;Bydgoszcz;gen. Tadeusza Jordana-Rozwadowskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-791;Bydgoszcz;Gen. Wiktora Thommee;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;gen. W≥adys≥awa Andersa;1;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-791;Bydgoszcz;gen. W≥adys≥awa Andersa;33-51(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-793;Bydgoszcz;gen. W≥adys≥awa Bortnowskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;gen. W≥adys≥awa Sikorskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-825;Bydgoszcz;Generalska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-793;Bydgoszcz;GeodetÛw;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-447;Bydgoszcz;GÍsia;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-007;Bydgoszcz;Gimnazjalna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-355;Bydgoszcz;Glebowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-170;Bydgoszcz;Glinki;116-116a;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-808;Bydgoszcz;Glinki;145;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-174;Bydgoszcz;Glinki;1-51(n), 12-62a(p), 31-33b;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-861;Bydgoszcz;Glinki;64-102(p), 81-101a(n), 117-128, 136-144(p), 147-153(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-100;Bydgoszcz;Glinki;75;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-863;Bydgoszcz;Glinki;79;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-378;Bydgoszcz;Gliwicka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-150;Bydgoszcz;G≥adka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-435;Bydgoszcz;G≥Íbinowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-381;Bydgoszcz;G≥ogowska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-404;Bydgoszcz;G≥ucha;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-430;Bydgoszcz;G≥uszcowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-353;Bydgoszcz;Gminna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-182;Bydgoszcz;Gniewkowska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-313;Bydgoszcz;GnieünieÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-406;Bydgoszcz;GogoliÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-174;Bydgoszcz;Golubska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-309;Bydgoszcz;Go≥Íbia;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-143;Bydgoszcz;GoplaÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;GorczaÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-808;Bydgoszcz;Gorzowska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-420;Bydgoszcz;GostycyÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-556;Bydgoszcz;Goúcieradzka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-792;Bydgoszcz;Goúcinna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-485;Bydgoszcz;Goüdzikowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;GÛralska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-360;Bydgoszcz;GÛrna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-794;Bydgoszcz;GÛrskiego Ochotniczego Pogotowia Ratunkowego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-157;Bydgoszcz;GÛrzyskowo;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-167;Bydgoszcz;GÛrzysta;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-601;Bydgoszcz;Grabowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-466;Bydgoszcz;Gradowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-382;Bydgoszcz;Grajewska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-201;Bydgoszcz;Graniczna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-726;Bydgoszcz;Granitowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-533;Bydgoszcz;GrenadierÛw;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-305;Bydgoszcz;Grobla;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-118;Bydgoszcz;Grodziska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-109;Bydgoszcz;Grodzka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-357;Bydgoszcz;Gromadzka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-373;Bydgoszcz;GrÛjecka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-130;Bydgoszcz;Grudziπdzka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-429;Bydgoszcz;Grunwaldzka;138-182(p), 167-197(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-239;Bydgoszcz;Grunwaldzka;1-83(n), 56-122(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-401;Bydgoszcz;Grunwaldzka;184-208(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-451;Bydgoszcz;Grunwaldzka;203-231(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-438;Bydgoszcz;Grunwaldzka;222-284(p), 235-303(n), 297-298;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-236;Bydgoszcz;Grunwaldzka;2-54(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-241;Bydgoszcz;Grunwaldzka;87-161(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-417;Bydgoszcz;Gryczana;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-795;Bydgoszcz;Gryfa Pomorskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-367;Bydgoszcz;Grzybowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-317;Bydgoszcz;Gustawa Morcinka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-547;Bydgoszcz;GwardzistÛw;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-336;Bydgoszcz;Gwieüdzista;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-435;Bydgoszcz;Halibutowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-137;Bydgoszcz;Halicka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-793;Bydgoszcz;Haliny Stabrowskiej;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-748;Bydgoszcz;Harcerska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-368;Bydgoszcz;Hebanowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-794;Bydgoszcz;Heleny MarusarzÛwny;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-726;Bydgoszcz;Helska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Henryka KulpiÒskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-234;Bydgoszcz;Henryka Siemiradzkiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-037;Bydgoszcz;Henryka Sienkiewicza;1-61(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-038;Bydgoszcz;Henryka Sienkiewicza;2-60(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-183;Bydgoszcz;Henryka Wieniawskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-862;Bydgoszcz;Hermana Frankego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-039;Bydgoszcz;HetmaÒska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-795;Bydgoszcz;Hieronima Derdowskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Hieronima Go≥Íbiewskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-687;Bydgoszcz;Hipiczna;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-461;Bydgoszcz;Hodowlana;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-435;Bydgoszcz;Homarowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-150;Bydgoszcz;Horodelska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-342;Bydgoszcz;Hoøa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-363;Bydgoszcz;Hrubieszowska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-087;Bydgoszcz;Huculska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-873;Bydgoszcz;Hutnicza;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-334;Bydgoszcz;Huzarska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-449;Bydgoszcz;Ibisowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-391;Bydgoszcz;Iglasta;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-791;Bydgoszcz;Ignacego DaszyÒskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-821;Bydgoszcz;Ignacego £ukasiewicza;1-3(n), 2-6(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-801;Bydgoszcz;Ignacego £ukasiewicza;5-7(n), 8-12(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-075;Bydgoszcz;Ignacego Paderewskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Igrzyskowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-314;Bydgoszcz;Ikara;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-720;Bydgoszcz;I≥awska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-456;Bydgoszcz;Indycza;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-776;Bydgoszcz;Inflancka;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-153;Bydgoszcz;Inowroc≥awska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-727;Bydgoszcz;InwalidÛw;1;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-749;Bydgoszcz;InwalidÛw;3b-6b, 10-20(p), 11-51(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-361;Bydgoszcz;Irysowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;Bydgoszcz;Izabeli Romanowskiej;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-689;Bydgoszcz;Izerska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-742;Bydgoszcz;Jab≥onowska;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-517;Bydgoszcz;Jachtowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-067;Bydgoszcz;JagielloÒska;1-17(n), 2-14(p), 27;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-097;Bydgoszcz;JagielloÒska;18-62(p), 21-25(n), 33-48, 51-57(n);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-027;Bydgoszcz;JagielloÒska;61-119(n), 64-96(p);Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-343;Bydgoszcz;Jagodowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-862;Bydgoszcz;JakÛba HechliÒskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;Bydgoszcz;Jakuba Wojciechowskiego;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-367;Bydgoszcz;Ja≥owcowa;;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
