,Kod_TERYT,nazwa_samorządu,Województwo,Powiat,typ_JST,nazwa_urzędu_JST,miejscowość,Kod pocztowy,poczta,Ulica,Nr domu,telefon kierunkowy,telefon,telefon 2,wewnętrzny,FAX kierunkowy,FAX,FAX wewnętrzny,ogólny adres poczty elektronicznej gminy/powiatu/województwa,adres www jednostki,ESP,adresy email
341,0418052,Choceń,kujawsko-pomorskie,włocławski,GW,Urząd Gminy Choceń,Choceń,87-850,Choceń,ul. Sikorskiego,12,56,2846617,,,56,2846740,,gmina.chocen@chocen.pl,www.chocen.pl,,gmina.chocen@chocen.pl
342,0418063,Chodecz,kujawsko-pomorskie,włocławski,GMW,Urząd Miasta i Gminy Chodecz,Chodecz,87-860,Chodecz,ul. Kaliska,2,54,2848070,,,54,2848070,,urzad@chodecz.pl,www.chodecz.pl,,urzad@chodecz.pl
343,0418072,Fabianki,kujawsko-pomorskie,włocławski,GW,Urząd Gminy Fabianki,Fabianki,87-811,Fabianki,Fabianki,4,54,2517210,,,54,2517229,,gmina@fabianki.pl,www.fabianki.pl,,gmina@fabianki.pl
344,0418083,Izbica Kujawska,kujawsko-pomorskie,włocławski,GMW,Urząd Gminy i Miasta w Izbicy Kujawskiej,Izbica Kujawska,87-865,Izbica Kujawska,ul. Piłsudskiego,32,54,2865009,,,54,2865009,,urzad@izbicakuj.pl,www.izbicakuj.pl,,urzad@izbicakuj.pl
345,0418011,Kowal,kujawsko-pomorskie,włocławski,GM,Urząd Miasta w Kowalu,Kowal,87-820,Kowal,ul. Piwna,10,54,2841255,,,54,2842231,,kowal@kowal.eu,www.kowal.eu,,kowal@kowal.eu
346,0418092,Kowal,kujawsko-pomorskie,włocławski,GW,Urząd Gminy Kowal,Kowal,87-820,Kowal,ul. Piwna,33,54,2842252,,,54,2842363,,urzad@gmina-kowal.pl,www.gminakowal.pl,,urzad@gmina-kowal.pl
347,0418102,Lubanie,kujawsko-pomorskie,włocławski,GW,Urząd Gminy Lubanie,Lubanie,87-732,Lubanie,Lubanie,28 A,54,2513312,,,54,2513312,,lubanie@lubanie.com,www.lubanie.com,,lubanie@lubanie.com
348,0418113,Lubień Kujawski,kujawsko-pomorskie,włocławski,GMW,Urząd Miejski w Lubieniu Kujawskim,Lubień Kujawski,87-840,Lubień Kujawski,ul. Wojska Polskiego,29,54,2843089,,,54,2843500,,sekretariat@lubienkujawski.pl,http://www.lubienkujawski.pl/,,sekretariat@lubienkujawski.pl
349,0418123,Lubraniec,kujawsko-pomorskie,włocławski,GMW,Urząd Miejski w Lubrańcu,Lubraniec,87-890,Lubraniec,ul. Brzeska,49,54,2862013,,,54,2862498,,urzad@lubraniec.pl,www.lubraniec.pl,,urzad@lubraniec.pl
350,0418000,Powiat Włocławski,kujawsko-pomorskie,włocławski,P,Starostwo Powiatowe we Włocławku,Włocławek,87-800,Włocławek,ul. Cyganka,28,54,2304600,,,54,2304671,,starostwo@powiat.wloclawski.pl,http://wloclawski.pl/,,starostwo@powiat.wloclawski.pl
351,0418132,Włocławek,kujawsko-pomorskie,włocławski,GW,Urząd Gminy Włocławek,Włocławek,87-800,Włocławek,ul. Królewska,7,54,2305300,,,54,2305353,,sekretariat@gmina.wloclawek.pl,www.gmina.wloclawek.pl,,sekretariat@gmina.wloclawek.pl
352,0419013,Barcin,kujawsko-pomorskie,żniński,GMW,Urząd Miejski w Barcinie,Barcin,88-190,Barcin,ul. Artylerzystów,9,52,3834100,,,52,3834143,,sekretariat@barcin.pl,www.barcin.pl,,sekretariat@barcin.pl
353,0419022,Gąsawa,kujawsko-pomorskie,żniński,GW,Urząd Gminy Gąsawa,Gąsawa,88-410,Gąsawa,ul. Żnińska,8,52,3036210,,,52,3026220,,ug@gasawa.pl,www.gasawa.pl,,ug@gasawa.pl
354,0419033,Janowiec Wielkopolski,kujawsko-pomorskie,żniński,GMW,Urząd Miejski w Janowcu Wielkopolskim,Janowiec Wielkopolski,88-430,Janowiec Wielkopolski,ul. Gnieźnieńska,3,52,3023034,,,52,3023020,,urzad@um-janowiecwlkp.pl,www.um-janowiecwlkp.pl,,urzad@um-janowiecwlkp.pl
355,0419043,Łabiszyn,kujawsko-pomorskie,żniński,GMW,Urząd Miejski w Łabiszynie,Łabiszyn,89-210,Łabiszyn,ul. Plac 1000-lecia,1,52,3844052,,,52,3844177,,urzad@labiszyn.pl,www.labiszyn.pl,,urzad@labiszyn.pl
356,0419000,Powiat Żniński,kujawsko-pomorskie,żniński,P,Starostwo Powiatowe w Żninie,Żnin,88-400,Żnin,ul. Potockiego ,1,52,3031100,,17,52,3031302,,powiat@znin.pl,www.znin.pl,,powiat@znin.pl
357,0419052,Rogowo,kujawsko-pomorskie,żniński,GW,Urząd Gminy Rogowo,Rogowo,88-420,Rogowo,ul. Kościelna,8,52,3024053,,,52,3024275,,gmina@rogowo.paluki.pl,www.rogowo.paluki.pl,,gmina@rogowo.paluki.pl
358,0419063,Żnin,kujawsko-pomorskie,żniński,GMW,Urząd Miejski w Żninie,Żnin,88-400,Żnin,ul. 700-lecia,39,52,3031301,,"127, 128",52,3031103,,kontakt@gminaznin.pl,www.um.znin.pl,,kontakt@gminaznin.pl
359,0400000,Województwo kujawsko-pomorskie,kujawsko-pomorskie,,W,Urząd Marszałkowski Województwa Kujawsko-Pomorskiego,Toruń,87-100,Toruń,Pl. Teatralny,2,56,6218600,,,56,6218533,,punkt.informacyjny@kujawsko-pomorskie.pl,www.kujawsko-pomorskie.pl,,punkt.informacyjny@kujawsko-pomorskie.pl
360,0601032,Biała Podlaska,lubelskie,bialski,GW,Urząd Gminy Biała Podlaska,Biała Podlaska,21-500,Biała Podlaska,ul. Prosta,31,83,3434950,,,83,3434950,,gmina@bialapodl.pl,nowa.gmina-bialapodlaska.pl,,gmina@bialapodl.pl
361,0661011,Biała Podlaska,lubelskie,bialski,MNP,Urząd Miasta Biała Podlaska,Biała Podlaska,21-500,Biała Podlaska,ul. Marszałka Józefa Piłsudskiego,3,83,3416100,,,83,3437064,,sekretariat@bialapodlaska.pl,www.bialapodlaska.pl,,sekretariat@bialapodlaska.pl
362,0601042,Drelów,lubelskie,bialski,GW,Urząd Gminy Drelów,Drelów,21-570,Drelów,ul. Szkolna,12,83,3723221,,,83,3720037,,drelow@drelow.pl,www.drelow.pl,,drelow@drelow.pl
363,0601052,Janów Podlaski,lubelskie,bialski,GW,Urząd Gminy Janów Podlaski,Janów Podlaski,21-505,Janów Podlaski,ul. Bialska,6A,83,3413073,,,83,3413077,,ug@janowpodlaski.pl,www.janowpodlaski.pl,,ug@janowpodlaski.pl
364,0601062,Kodeń,lubelskie,bialski,GW,Urząd Gminy Kodeń,Kodeń,21-509,Kodeń,ul. 1 Maja,20,83,3754155,,,83,3754347,,ug@koden.pl,www.koden.pl,,ug@koden.pl
365,0601072,Konstantynów,lubelskie,bialski,GW,Urząd Gminy Konstantynów,Konstantynów,21-543,Konstantynów,ul. Kard. St. Wyszyńskiego,2,83,3414192,,,83,3414192,,sekretariat@ugkonstantynow.pl,www.konstantynow.lubelskie.pl,,sekretariat@ugkonstantynow.pl
366,0601082,Leśna Podlaska,lubelskie,bialski,GW,Urząd Gminy Leśna Podlaska,Leśna Podlaska,21-542,Leśna Podlaska,ul. Bialska,30,83,3450720,,,83,3450721,,ug@lesnapodlaska.pl,www.lesnapodlaska.pl,,ug@lesnapodlaska.pl
367,0601092,Łomazy,lubelskie,bialski,GW,Urząd Gminy Łomazy,Łomazy,21-532,Łomazy,Pl. Jagielloński,27,83,3417003,,,83,3417021,,ug@lomazy.pl,www.lomazy.pl,/lomazy/skrytka,ug@lomazy.pl
368,0601011,Międzyrzec Podlaski,lubelskie,bialski,GM,Urząd Miasta Międzyrzec Podlaski,Międzyrzec Podlaski,21-560,Międzyrzec Podlaski,ul. Pocztowa,8,83,3726210,,,83,3726228,,miasto@miedzyrzec.pl,www.miedzyrzec.pl,,miasto@miedzyrzec.pl
369,0601102,Międzyrzec Podlaski,lubelskie,bialski,GW,Urząd Gminy Międzyrzec Podlaski,Międzyrzec Podlaski,21-560,Międzyrzec Podlaski,ul. Warszawska,20,83,3712496,,,83,3714826,,urzad@miedzyrzecgmina.pl,www.miedzyrzecgmina.pl,,urzad@miedzyrzecgmina.pl
370,0601112,Piszczac,lubelskie,bialski,GW,Urząd Gminy Piszczac,Piszczac,21-530,Piszczac,ul. Włodawska,8,83,3778018,,,83,3778018,,sekretariat@piszczac.pl,www.piszczac.pl,,sekretariat@piszczac.pl
371,0601000,Powiat Bialski,lubelskie,bialski,P,Starostwo Powiatowe w Białej Podlaskiej,Biała Podlaska,21-500,Biała Podlaska,ul. Brzeska,41,83,3511395,,322,83,3433609,,starostwo@powiatbialski.pl,www.powiatbialski.eu,,starostwo@powiatbialski.pl
372,0601122,Rokitno,lubelskie,bialski,GW,Urząd Gminy Rokitno,Rokitno,21-504,Rokitno,Rokitno,39A,83,3453550,,,83,3453563,,sekretariat@rokitno.pl,www.rokitno.pl,,sekretariat@rokitno.pl
373,0601132,Rossosz,lubelskie,bialski,GW,Urząd Gminy Rossosz,Rossosz,21-533,Rossosz,ul. Lubelska,8,83,3784557,,,83,3784566,,gmina@rossosz.pl,www.rossosz.pl,,gmina@rossosz.pl
374,0601142,Sławatycze,lubelskie,bialski,GW,Urząd Gminy Sławatycze,Sławatycze,21-515,Sławatycze,Rynek,14,83,3783358,,,83,3783313,,gmina@slawatycze.pl,www.slawatycze.pl,,gmina@slawatycze.pl
375,0601152,Sosnówka,lubelskie,bialski,GW,Urząd Gminy Sosnówka,Sosnówka,21-518,Sosnówka,Sosnówka,55,83,3793019,,,83,3793027,,sekretariat@sosnowka.pl,www.sosnowka.pl,,sekretariat@sosnowka.pl
376,0601021,Terespol,lubelskie,bialski,GM,Urząd Miasta Terespol,Terespol,21-550,Terespol,ul. Czerwonego Krzyża,26,83,3752130,,,83,3752327,,um@terespol.pl,www.terespol.pl,,um@terespol.pl
377,0601162,Terespol,lubelskie,bialski,GW,Urząd Gminy Terespol,Kobylany,21-540,Małaszewicze,PL. Ryszarda Kaczorowskiego,1,83,4112000,,,83,4112009,,sekretariat@gminaterespol.pl,www.gminaterespol.pl,,sekretariat@gminaterespol.pl
378,0601172,Tuczna,lubelskie,bialski,GW,Urząd Gminy Tuczna,Tuczna,21-523,Tuczna,Tuczna,191A,83,3771003,,,83,3771003,,sekretariat@gminatuczna.pl,www.gminatuczna.pl,,sekretariat@gminatuczna.pl
379,0601182,Wisznice,lubelskie,bialski,GW,Urząd Gminy Wisznice,Wisznice,21-580,Wisznice,Rynek,35,83,3782102,,,83,3782039,,gmina@wisznice.pl,www.wisznice.pl,,gmina@wisznice.pl
380,0601192,Zalesie,lubelskie,bialski,GW,Urząd Gminy Zalesie,Zalesie,21-512,Zalesie,ul. Warszawska,34,83,3757586,,,83,3757521,,sekretariat@zalesie.pl,www.zalesie.pl,,sekretariat@zalesie.pl
381,0602022,Aleksandrów,lubelskie,biłgorajski,GW,Urząd Gminy Aleksandrów,Aleksandrów,23-408,Aleksandrów,Aleksandrów Drugi,380,84,6875002,,,84,6875032,,sekretariat@ealeksandrow.pl,www.ealeksandrow.pl,,sekretariat@ealeksandrow.pl
382,0602011,Biłgoraj,lubelskie,biłgorajski,GM,Urząd Miasta Biłgoraj,Biłgoraj,23-400,Biłgoraj,pl. Wolności,16,84,6869600,,,84,6869665,,sekretariat@bilgoraj.pl,www.bilgoraj.pl,,sekretariat@bilgoraj.pl
383,0602032,Biłgoraj,lubelskie,biłgorajski,GW,Urząd Gminy Biłgoraj,Biłgoraj,23-400,Biłgoraj,ul. Kościuszki,88,84,6882830,,,84,6863584,,sekretariat@gminabilgoraj.pl ,www.gminabilgoraj.pl,,sekretariat@gminabilgoraj.pl 
384,0602042,Biszcza,lubelskie,biłgorajski,GW,Urząd Gminy Biszcza,Biszcza,23-425,Biszcza,Biszcza,79,84,6856022,6856024,,84,6856301,,biszcza@zgwrp.org.pl,www.biszcza.pl,,biszcza@zgwrp.org.pl
385,0602053,Frampol,lubelskie,biłgorajski,GMW,Urząd Miejski we Frampolu,Frampol,23-440,Frampol,ul. Radzięcka,8,84,6857527,6857509,33,84,6857563,,umframpol@frampol.pl,www.frampol.pl,,umframpol@frampol.pl
386,0602063,Goraj,lubelskie,biłgorajski,GMW,Urząd Gminy Goraj,Goraj,23-450,Goraj,Bednarska,1,84,6858002,6858036,,84,6858118,,poczta@goraj.eurzad.eu,www.goraj.eu,,poczta@goraj.eurzad.eu
387,0602073,Józefów,lubelskie,biłgorajski,GMW,Urząd Miejski w Józefowie,Józefów,23-460,Józefów,ul. Kościuszki,37,84,6878133,,,84,6878133,,jozefow@ejozefow.pl,www.ejozefow.pl,,jozefow@ejozefow.pl
388,0602082,Księżpol,lubelskie,biłgorajski,GW,Urząd Gminy Księżpol,Księżpol,23-415,Księżpol,ul. Biłgorajska,12,84,6877419,6877420,,84,6877432,,info@ksiezpol.pl,www.ksiezpol.pl,,info@ksiezpol.pl
389,0602092,Łukowa,lubelskie,biłgorajski,GW,Urząd Gminy Łukowa,Łukowa,23-412,Łukowa,Łukowa,262,84,6874002,6874018,,84,6874045,,sekretariat@lukowa.pl,www.lukowa.pl,,sekretariat@lukowa.pl
390,0602102,Obsza,lubelskie,biłgorajski,GW,Urząd Gminy Obsza,Obsza,23-413,Obsza,Obsza,36,84,6891002,6891017,31,84,6273409,,sekretariat@obsza.pl,www.obsza.pl,,sekretariat@obsza.pl
391,0602112,Potok Górny,lubelskie,biłgorajski,GW,Urząd Gminy Potok Górny,Potok Górny,23-423,Potok Górny,Potok Górny,116,84,6852518,,,84,6852333,,sekretariat@potokgorny.com.pl,www.potokgorny.com.pl,,sekretariat@potokgorny.com.pl
392,0602000,Powiat Biłgorajski,lubelskie,biłgorajski,P,Starostwo Powiatowe w Biłgoraju,Biłgoraj,23-400,Biłgoraj,ul. T. Kościuszki,94,84,6882000,6882001,,84,6882009,,sekretariat@bilgorajski.pl,www.bilgorajski.pl,,sekretariat@bilgorajski.pl
393,0602123,Tarnogród,lubelskie,biłgorajski,GMW,Urząd Miejski w Tarnogrodzie,Tarnogród,23-420,Tarnogród,ul. Tadeusza Kościuszki,5,84,6897161,6897162,,84,6897731,,um@tarnogrod.pl,www.tarnogrod.pl,,um@tarnogrod.pl
394,0602132,Tereszpol,lubelskie,biłgorajski,GW,Urząd Gminy Tereszpol,Tereszpol,23-407,Tereszpol-Zaorenda,Długa,234,84,6876005,6876631,,84,6876632,,gmina@tereszpol.pl,www.tereszpol.pl,,gmina@tereszpol.pl
395,0602142,Turobin,lubelskie,biłgorajski,GW,Urząd Gminy Turobin,Turobin,23-465,Turobin,Rynek,4,84,6833335,6833343,,84,6833335,,sekretariat@turobin.pl,www.turobin.pl,,sekretariat@turobin.pl
396,0603022,Białopole,lubelskie,chełmski,GW,Urząd Gminy Białopole,Białopole,22-135,Białopole,ul. Chełmska,1,82,5682204,5637978,,82,5682286,,ugbialopole@data.pl,www.bialopole.eu,,ugbialopole@data.pl
397,0603032,Chełm,lubelskie,chełmski,GW,Urząd Gminy Chełm,Pokrówka,22-100,Chełm Pokrówka,ul. Gminna,18,82,5636553,5637978,,82,5637793,,sekretariat@gminachelm.pl,www.gminachelm.pl,,sekretariat@gminachelm.pl
398,0662011,Chełm,lubelskie,chełmski,MNP,Urząd Miasta Chełm,Chełm,22-100,Chełm,ul. Lubelska,65,82,5652070,,,82,5652254,,info@umchelm.pl,www.chelm.pl,,info@umchelm.pl
399,0603042,Dorohusk,lubelskie,chełmski,GW,Urząd Gminy Dorohusk,Dorohusk-Osada,22-175,Dorohusk,Niepodległości,50,82,5661089,5661044,,82,5661061,,sekretariat@dorohusk.com.pl,www.dorohusk.com.pl                 www.dorohusk.lubelskie-24.pl,,sekretariat@dorohusk.com.pl
400,0603052,Dubienka,lubelskie,chełmski,GW,Urząd Gminy Dubienka,Dubienka,22-145,Dubienka,ul. 3 Maja,6,82,5668002,5668079,,82,5668002,,gmina@dubienka.eurzad.eu,www.dubienka.eurzad.eu,,gmina@dubienka.eurzad.eu
401,0603062,Kamień,lubelskie,chełmski,GW,Urząd Gminy Kamień,Kamień,22-113,Kamień,ul. Diamentowa,15,82,5671551,,,82,5671571,,sekretariat@kamien.gmina.pl, www.kamien.gmina.pl,,sekretariat@kamien.gmina.pl
402,0603072,Leśniowice,lubelskie,chełmski,GW,Urząd Gminy Leśniowice,Leśniowice,22-122,Leśniowice,Leśniowice,21a,82,5675494,,,82,5675494,,lesniowice@zgwrp.org.pl,www.lesniowice.lubelskie.pl,,lesniowice@zgwrp.org.pl
403,0603000,Powiat Chełmski,lubelskie,chełmski,P,Starostwo Powiatowe w Chełmie,Chełm,22-100,Chełm,pl. Niepodległości,1,82,5627501,,,82,5627510,,starostwo@powiat.chelm.pl,www.powiat.chelm.pl,,starostwo@powiat.chelm.pl
404,0603153,Rejowiec,lubelskie,chełmski,GMW,Urząd Miejski w Rejowcu,Rejowiec,22-360,Rejowiec,ul. Wiktoryna Zaleskiego,1,82,5688159,,,82,5688753,,sekretariat@gmina.rejowiec.pl,www.gmina.rejowiec.pl,,sekretariat@gmina.rejowiec.pl
405,0603011,Rejowiec Fabryczny,lubelskie,chełmski,GM,Urząd Miasta Rejowiec Fabryczny,Rejowiec Fabryczny,22-170,Rejowiec Fabryczny,ul. Lubelska,16,82,5663277,,,82,5664728,,info@rejowiec.pl,www.rejowiec.pl,,info@rejowiec.pl
406,0603082,Rejowiec Fabryczny,lubelskie,chełmski,GW,Urząd Gminy Rejowiec Fabryczny,Rejowiec Fabryczny,22-170,Rejowiec Fabryczny,ul. Lubelska,16,82,5664211,5664202,,82,5664211,42,urzad@ug.rejowiec.pl,www.ug.rejowiec.pl,,urzad@ug.rejowiec.pl
407,0603092,Ruda-Huta,lubelskie,chełmski,GW,Urząd Gminy Ruda-Huta,Ruda-Huta,22-110,Ruda-Huta,ul. Niepodległości,44,82,5686033,5686016,,82,5686033,,sekretariat@ruda-huta.pl,www.ruda-huta.pl,,sekretariat@ruda-huta.pl
408,0603102,Sawin,lubelskie,chełmski,GW,Urząd Gminy Sawin,Sawin,22-107,Sawin,ul. Chutecka,12,82,5673012,,,82,5673012,,ug@sawin.pl,www.sawin.pl,,ug@sawin.pl
409,0603113,Siedliszcze,lubelskie,chełmski,GMW,Urząd Miejski w Siedliszczu,Siedliszcze,22-130,Siedliszcze,ul. Szpitalna,15A,82,5692202,,,82,5692202,,gmina@siedliszcze.pl,www.siedliszcze.pl,,gmina@siedliszcze.pl
410,0603122,Wierzbica,lubelskie,chełmski,GW,Urząd Gminy Wierzbica,Wierzbica - Osiedle,22-150,Wierzbica,ul. Włodawska,1,82,5693266,5693232,,82,5693222,,ugwierzbica@ugwierzbica.pl,www.ugwierzbica.pl,,ugwierzbica@ugwierzbica.pl
411,0603132,Wojsławice,lubelskie,chełmski,GW,Urząd Gminy Wojsławice,Wojsławice,22-120,Wojsławice,Rynek,30,82,5669102,5669178,,82,5669102,,gmina@wojslawice.eurzad.eu,www.wojslawice.eurzad.eu,,gmina@wojslawice.eurzad.eu
412,0603142,Żmudź,lubelskie,chełmski,GW,Urząd Gminy Żmudź,Żmudź,22-114,Żmudź,ul. Kasztanowa,22,82,5680182,,,82,5680620,,urzad@zmudz.gmina.pl,www.zmudz.gmina.pl,,urzad@zmudz.gmina.pl
413,0604022,Dołhobyczów,lubelskie,hrubieszowski,GW,Urząd Gminy Dołhobyczów,Dołhobyczów,22-540,Dołhobyczów,ul. Spółdzielcza,2a,84,6532524,,,84,6532524,,sekretariat@dolhobyczow.pl,www.dolhobyczow.pl,,sekretariat@dolhobyczow.pl
414,0604032,Horodło,lubelskie,hrubieszowski,GW,Urząd Gminy Horodło,Horodło,22-523,Horodło,ul. Jurydyka,1,84,6515447,,,84,6515443,,ug@horodlo.pl,www.horodlo.pl,,ug@horodlo.pl
415,0604011,Hrubieszów,lubelskie,hrubieszowski,GM,Urząd Miasta Hrubieszów,Hrubieszów,22-500,Hrubieszów,"ul. mjr. H. Dobrzańskiego ""HUBALA""",1,84,6962380,,,84,6962504,30,um@miasto.hrubieszow.pl,www.miasto.hrubieszow.pl,,um@miasto.hrubieszow.pl
416,0604042,Hrubieszów,lubelskie,hrubieszowski,GW,Urząd Gminy Hrubieszów,Hrubieszów,22-500,Hrubieszów,ul. Bolesława Prusa,8,84,6962681,,,84,6962794,,sekretariat@hrubieszow-gmina.pl,www.hrubieszow-gmina.pl,,sekretariat@hrubieszow-gmina.pl
417,0604052,Mircze,lubelskie,hrubieszowski,GW,Urząd Gminy Mircze,Mircze,22-530,Mircze,ul. Kryłowska,20,84,6519004,6519015,,84,6519015,,gmina@mircze.pl,www.mircze.pl,,gmina@mircze.pl
418,0604000,Powiat Hrubieszowski,lubelskie,hrubieszowski,P,Starostwo Powiatowe w Hrubieszowie,Hrubieszów,22-500,Hrubieszów,ul. Narutowicza,34,84,6965068,,,84,6963856,,starostwo@hrubieszow.pl,www.starostwo.hrubieszow.pl,,starostwo@hrubieszow.pl
419,0604062,Trzeszczany,lubelskie,hrubieszowski,GW,Urząd Gminy Trzeszczany,Trzeszczany,22-554,Trzeszczany,Trzeszczany Pierwsze,194,84,6575059,,,84,6575023,,gmina@trzeszczany.pl,www.trzeszczany.pl,,gmina@trzeszczany.pl
420,0604072,Uchanie,lubelskie,hrubieszowski,GW,Urząd Gminy Uchanie,Uchanie,22-510,Uchanie,ul. Partyzantów,1,84,6577266,,,84,6577122,,sekretariat@uchanie.pl,www.uchanie.pl,,sekretariat@uchanie.pl
421,0604082,Werbkowice,lubelskie,hrubieszowski,GW,Urząd Gminy Werbkowice,Werbkowice,22-550,Werbkowice,ul. Zamojska,1,84,6572005,6572069,,84,6572091,,ug@werbkowice.pl,www.werbkowice.pl,,ug@werbkowice.pl
422,0605012,Batorz,lubelskie,janowski,GW,Urząd Gminy Batorz,Batorz - Pierwsza,23-320,Batorz,Batorz - Pierwsza,52A,15,8745134,,,15,8745132,,sekretariat@batorz.gmina.pl,www.batorz.gmina.pl,,sekretariat@batorz.gmina.pl
423,0605022,Chrzanów,lubelskie,janowski,GW,Urząd Gminy Chrzanów,Chrzanów,23-305,Chrzanów,Chrzanów Trzeci,112,15,8755132,8755119,,15,8755133,,gmina@chrzanow.eurzad.eu,www.chrzanow.eurzad.eu,,gmina@chrzanow.eurzad.eu
424,0605032,Dzwola,lubelskie,janowski,GW,Urząd Gminy Dzwola,Dzwola,23-304,Dzwola,Dzwola,168,15,8752215,,,15,8752215,,ugdzwola@mbnet.pl,www.dzwola.eurzad.eu,,ugdzwola@mbnet.pl
425,0605042,Godziszów,lubelskie,janowski,GW,Urząd Gminy Godziszów,Godziszów Trzeci,23-302,Godziszów,Godziszów Trzeci,121A,15,8710002,,11,15,8711110,,sekretariat@godziszow.pl,www.godziszow.pl,,sekretariat@godziszow.pl
426,0605053,Janów Lubelski,lubelskie,janowski,GMW,Urząd Miejski w Janowie Lubelskim,Janów Lubelski,23-300,Janów Lubelski,ul. Jana Zamoyskiego,59,15,8724330,,,15,8724670,,sekretariat@janowlubelski.pl,www.janowlubelski.pl,,sekretariat@janowlubelski.pl
427,0605063,Modliborzyce,lubelskie,janowski,GMW,Urząd Miejski w Modliborzycach,Modliborzyce,23-310,Modliborzyce,ul. Józefa Piłsudskiego,63,15,8715079,,,15,8717102,,sekretariat@modliborzyce.pl,www.modliborzyce.pl,,sekretariat@modliborzyce.pl
428,0605072,Potok Wielki,lubelskie,janowski,GW,Urząd Gminy Potok Wielki,Potok Wielki,23-313,Potok Wielki,Potok Wielki,106,15,8740204,8740206,,15,8740204,,gmina@potokwielki.pl,www.potokwielki.pl,,gmina@potokwielki.pl
429,0605000,Powiat Janowski,lubelskie,janowski,P,Starostwo Powiatowe w Janowie Lubelskim,Janów Lubelski,23-300,Janów Lubelski,ul. Zamoyskiego,59,15,8720309,,,15,8720559,,sekretariat@powiatjanowski.pl,www.powiatjanowski.pl,,sekretariat@powiatjanowski.pl
430,0606022,Fajsławice,lubelskie,krasnostawski,GW,Urząd Gminy Fajsławice,Fajsławice,21-060,Fajsławice,Fajsławice,107,81,5853002,,,81,5853002,,sekretariat@fajslawice.eu,www.fajslawice.eu,,sekretariat@fajslawice.eu
431,0606032,Gorzków,lubelskie,krasnostawski,GW,Urząd Gminy Gorzków,Gorzków,22-315,Gorzków,ul. Główna,9,84,6838156,,,84,6838111,,gmina@gorzkow.eu,www.gorzkow.eu,,gmina@gorzkow.eu
432,0606042,Izbica,lubelskie,krasnostawski,GW,Urząd Gminy Izbica,Izbica,22-375,Izbica,ul. Gminna,4,84,6183034,,,84,6183049,,ugizbica@mbnet.pl,www.gmina-izbica.pl,,ugizbica@mbnet.pl
433,0606011,Krasnystaw,lubelskie,krasnostawski,GM,Urząd Miasta Krasnystaw,Krasnystaw,22-300,Krasnystaw,Plac 3 Maja,29,82,5762157,,,82,5762377,,miasto@krasnystaw.pl,www.krasnystaw.pl,,miasto@krasnystaw.pl
434,0606052,Krasnystaw,lubelskie,krasnostawski,GW,Urząd Gminy Krasnystaw,Krasnystaw,22-300,Krasnystaw,ul. M. Konopnickiej,4,82,5763753,5761432,,82,5763046,,wojt@krasnystaw.ug.gov.pl,www.krasnystaw.ug.gov.pl,,wojt@krasnystaw.ug.gov.pl
435,0606062,Kraśniczyn,lubelskie,krasnostawski,GW,Urząd Gminy Kraśniczyn,Kraśniczyn,22-310,Kraśniczyn,ul. Kościuszki,21,82,5775511,5775594,,82,5775572,,sekretariat@krasniczyn.gmina.pl,www.krasniczyn.eurzad.eu http://www.krasniczyn.lubelskie.pl/,,sekretariat@krasniczyn.gmina.pl
436,0606072,Łopiennik Górny,lubelskie,krasnostawski,GW,Urząd Gminy Łopiennik Górny,Łopiennik Górny 1,22-351,Łopiennik Górny,Łopiennik Górny,1,82,5773004,5773123,,82,5773010,,urzad@lopiennikgorny.pl,www.lopiennikgorny.pl,,urzad@lopiennikgorny.pl
437,0606000,Powiat Krasnostawski,lubelskie,krasnostawski,P,Starostwo Powiatowe w Krasnymstawie,Krasnystaw,22-300,Krasnystaw,ul. Sobieskiego,3,82,5767286,5767288,,82,5767289,,starostwo@krasnystaw-powiat.pl,www.krasnystaw-powiat.pl,,starostwo@krasnystaw-powiat.pl
438,0606092,Rudnik,lubelskie,krasnostawski,GW,Urząd Gminy Rudnik,Rudnik,22-330,Rudnik,Rudnik,71,84,6841123,,,84,6841123,,urzad@rudnik.gmina.pl,www.rudnik.gmina.pl,,urzad@rudnik.gmina.pl
439,0606102,Siennica Różana,lubelskie,krasnostawski,GW,Urząd Gminy Siennica Różana,Siennica Różana,22-304,Siennica Różana,Siennica Różana,265 A,82,5759281,,,82,5759900,,siennicarozana@gmail.com,www.siennica.pl,,siennicarozana@gmail.com
440,0606112,Żółkiewka,lubelskie,krasnostawski,GW,Urząd Gminy Żółkiewka,Żółkiewka - Osada,22-335,Żółkiewka,ul. Hetmana Żółkiewskiego,2,84,6831676,6831678,,84,6831676,,sekretariat@zolkiewka.pl,www.zolkiewka.pl,,sekretariat@zolkiewka.pl
441,0607023,Annopol,lubelskie,kraśnicki,GMW,Urząd Miejski w Annopolu,Annopol,23-235,Annopol,Rynek,1,15,8613061,8613063,,15,8613061,,sekretariat@annopol.eurzad.eu,www.annopol.lubelskie.pl,,sekretariat@annopol.eurzad.eu
442,0607032,Dzierzkowice,lubelskie,kraśnicki,GW,Urząd Gminy Dzierzkowice,Dzierzkowice,23-251,Dzierzkowice,Terpentyna,1,81,8221006,,,81,8221500,,urzadgminy@dzierzkowice.pl,www.dzierzkowice.pl,,urzadgminy@dzierzkowice.pl
